name,email,date_of_birth,mobile_no,is_valid_date,is_valid_email,is_valid_name,is_valid_phone,above_18
William Dixon,William_Dixon@woodward-fuller.biz,1986/01/10,40601711,True,False,True,True,True
Kristen Horn,Kristen_Horn@lin.com,1974-09-10,737931,True,True,True,False,True
Kimberly Chang,Kimberly_Chang@johnson-lopez.biz,02/27/1974,2692047,True,False,True,False,True
Mary Ball,Mary_Ball@stevens.biz,02/05/1968,886359,True,False,True,False,True
Benjamin Craig,Benjamin_Craig@berry.net,12/11/1988,696429,True,True,True,False,True
Cathy Werner,Cathy_Werner@martinez.net,2018-09-25,7138041,True,True,True,False,False
Brandon Bell,Brandon_Bell@johnson-burgess.com,1961-10-27,768543,True,True,True,False,True
Paul Farley,Paul_Farley@payne-taylor.com,1980-11-22,8196105,True,True,True,False,True
Sarah Mcdaniel,Sarah_Mcdaniel@hughes-simon.com,2017/04/26,12556,True,True,True,False,False
Caroline Anderson,Caroline_Anderson@blair-phillips.com,02/27/1988,5818212,True,True,True,False,True
Carl Jones,Carl_Jones@coleman.com,06/21/1993,220035,True,True,True,False,True
Scott Lee,Scott_Lee@phillips.com,2010-07-12,52145751,True,True,True,True,False
Kaylee Coleman,Kaylee_Coleman@hammond.com,10/08/2009,156657,True,True,True,False,False
Charles Parker,Charles_Parker@morris-keller.com,12/20/1980,92921,True,True,True,False,True
Susan Hess,Susan_Hess@sharp-hodges.net,1950-05-21,46541,True,True,True,False,True
Kiara Collier,Kiara_Collier@chandler.biz,1959-05-21,955551,True,False,True,False,True
 Scott Martinez,Scott_Martinez@goodwin.com,02/16/1992,369441,True,True,True,False,True
Christopher Ortega,Christopher_Ortega@perez.biz,1959-06-18,9968155,True,False,True,False,True
Michael Russell,Michael_Russell@nunez-wright.com,2013/01/20,6400283,True,True,True,False,False
Dwayne Johnson,Dwayne_Johnson@contreras-boyd.com,2006/11/10,115935,True,True,True,False,False
Deanna Sherman,Deanna_Sherman@wright-sanchez.org,25-04-1975,143073,True,False,True,False,True
Douglas Francis,Douglas_Francis@king-cross.org,21-12-1992,1535885,True,False,True,False,True
Vicki Diaz,Vicki_Diaz@macdonald-day.com,1993/10/05,165459,True,True,True,False,True
Robin Phillips,Robin_Phillips@krause.net,1974-07-15,69531,True,True,True,False,True
Travis Rice,Travis_Rice@bradley.net,05/08/2006,3631 6303,True,True,True,True,False
Ashley Rocha,Ashley_Rocha@hicks.info,1956/09/11,7046565,True,False,True,False,True
Sarah Jacobson,Sarah_Jacobson@mclean-jacobs.info,03/09/1958,6107 1779,True,False,True,True,True
Kayla Shannon,Kayla_Shannon@hendricks-hunter.org,1984/05/17,51323743,True,False,True,True,True
Joseph Torres,Joseph_Torres@johnson.com,1955/05/05,34376,True,True,True,False,True
Kim Jones,Kim_Jones@little.net,02-11-1985,34401,True,True,True,False,True
Melissa Tanner,Melissa_Tanner@johnson.net,04/30/1989,70391,True,True,True,False,True
Sonya Foster,Sonya_Foster@garcia-browning.com,10-09-1988,143877,True,True,True,False,True
 Thomas Rivera,Thomas_Rivera@guzman-avila.com,1951/07/15,843813,True,True,True,False,True
Jamie Silva,Jamie_Silva@hill.com,2006/06/21,469791,True,True,True,False,False
Kathleen Moore,Kathleen_Moore@avila.info,1952/02/03,609093,True,False,True,False,True
Evelyn Pineda,Evelyn_Pineda@sullivan-collins.net,02/04/1958,8819217,True,True,True,False,True
Kyle Peters,Kyle_Peters@cole-edwards.com,1995/08/25,346701,True,True,True,False,True
Anthony Cruz,Anthony_Cruz@burns.com,22-02-1955,1742399,True,True,True,False,True
Gary Harper,Gary_Harper@bell-mueller.com,01/11/1998,77546,True,True,True,False,True
Linda Johnson,Linda_Johnson@williams.biz,1959/07/29,828207,True,False,True,False,True
Melissa Smith,Melissa_Smith@carroll.org,1997-12-08,9831067,True,False,True,False,True
Kristen Floyd,Kristen_Floyd@robinson.com,1993-05-25,4685654,True,True,True,False,True
William Diaz,William_Diaz@cruz-norris.com,02/16/1987,97811,True,True,True,False,True
David Glenn,David_Glenn@jenkins-mcfarland.org,15-06-2011,960561,True,False,True,False,False
Dawn Jones,Dawn_Jones@ashley-johnson.com,2007/03/02,91686479,True,True,True,True,False
Joel Smith,Joel_Smith@walker-roth.biz,1971-09-09,8287875,True,False,True,False,True
 Larry Grimes ,Larry_Grimes@lewis-richardson.info,12/31/2005,966177,True,False,True,False,False
Joseph Arnold,Joseph_Arnold@gibbs.biz,08/21/2005,2019270,True,False,True,False,False
Kyle Long,Kyle_Long@galvan.com,07/13/1992,2785329,True,True,True,False,True
Brittany Day,Brittany_Day@brown.info,2018/05/22,61597047,True,False,True,True,False
Bobby Ward,Bobby_Ward@bailey-taylor.org,1964/10/06,64672783,True,False,True,True,True
Thomas Lee,Thomas_Lee@wilson-allen.com,10/28/1996,91381,True,True,True,False,True
Jennifer Hansen,Jennifer_Hansen@nelson.biz,06/28/1963,308547,True,False,True,False,True
Lisa Murray,Lisa_Murray@mcclain.net,2011-07-09,3172233,True,True,True,False,False
Meghan Wade,Meghan_Wade@garcia-brown.org,09/15/1982,610719,True,False,True,False,True
Tammie Brooks,Tammie_Brooks@james.com,1962/09/14,114957,True,True,True,False,True
Maria Bell,Maria_Bell@lambert-lamb.com,2018/10/26,60030719,True,True,True,True,False
Allison Livingston,Allison_Livingston@jones-thompson.com,1950/12/01,503175,True,True,True,False,True
Chris Hays,Chris_Hays@todd-mccoy.info,08/27/1951,2661590,True,False,True,False,True
Courtney Mitchell,Courtney_Mitchell@dominguez.biz,27-12-1981,657699,True,False,True,False,True
Shawn White,Shawn_White@kerr.com,1960/09/15,21631,True,True,True,False,True
Zachary Watts,Zachary_Watts@nguyen-whitehead.info,1984-12-30,3427810,True,False,True,False,True
Sarah Montoya,Sarah_Montoya@jackson.com,2000-11-07,31426,True,True,True,False,True
Jennifer Barker,Jennifer_Barker@wilson.net,2011/05/26,61006,True,True,True,False,False
Tiffany Stevens,Tiffany_Stevens@estrada.com,05/23/1962,6246556,True,True,True,False,True
Ruben Armstrong,Ruben_Armstrong@watkins.com,10-09-2015,6962936,True,True,True,False,False
